product_title,product_details,product_color,product_url,image_url,image_path
Denim Shorts,"100% cotton, Solid, frayed edges, fringe & frayed accents, whiskering, blue, medium wash, low rise waist",,https://www.thredup.com/product/women-cotton-levis-blue-denim-shorts/155251623?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/541956196/retina.jpg,thredup_images\c7827cd8-dd32-4e98-8a58-00b6b7ce601b.jpg
Pullover Hoodie,"78% cotton, 22% polyester, Black",,https://www.thredup.com/product/women-cotton-victorias-secret-pink-black-pullover-hoodie/155089517?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/541281179/retina.jpg,thredup_images\113c6076-3486-4521-be69-a5e5c8823446.jpg
Casual Dress,"53% viscose, 47% rayon, Sleeveless, sweetheart neckline, mini silhouette, floral print, ruffle accents, frills & ruffles, multi color, green, wedding, short",,https://www.thredup.com/product/women-viscose-dress-forum-multi-color-casual-dress/155089473?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/541178666/retina.jpg,thredup_images\ca472579-1208-4cb8-82e0-f0c3fdf31ec4.jpg
Active Pants,"Material unknown, Green, mid rise waist",,https://www.thredup.com/product/women-lululemon-athletica-green-active-pants/155005637?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/540971695/retina.jpg,thredup_images\103cf474-9fe1-407c-b19d-8458bc55e7eb.jpg
Jeans,"Material unknown, Solid, whiskering, blue, this brand may run small, boho, dark wash, boot leg cut, low rise waist",,https://www.thredup.com/product/women-j-brand-blue-jeans/154917608?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/540448122/retina.jpg,thredup_images\1113bc40-44be-4c92-ada3-a27ffcf30f99.jpg
Jeans,"Material unknown, Blue, high rise waist",,https://www.thredup.com/product/women-zara-blue-jeans/154901064?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/540460517/retina.jpg,thredup_images\041db054-4bca-4033-8fb2-77a333102db0.jpg
Denim Shorts,"100% cotton, Blue, mid rise waist",,https://www.thredup.com/product/women-cotton-levis-blue-denim-shorts/154874841?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/540521781/retina.jpg,thredup_images\9bcb91cf-582f-4482-bf6e-4fc7b9c980d1.jpg
Casual Skirt,"95% polyester, 5% spandex, Black",,https://www.thredup.com/product/women-polyester-lularoe-black-casual-skirt/154714784?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/539750289/retina.jpg,thredup_images\04932058-e417-4ae2-9450-3d596723d80c.jpg
Casual Dress,"100% rayon, Short sleeve, scoop neckline, mini silhouette, multi color, burgundy, boho, short",,https://www.thredup.com/product/women-rayon-knox-rose-multi-color-casual-dress/154119433?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/537106016/retina.jpg,thredup_images\c665d5de-3961-405b-b6f8-1e5c68f8fbc3.jpg
Mesquite Puff Sleeve Dress,"96% cotton, 4% elastane, 3/4 sleeve, square, mini silhouette, solid, ruched detail, pink, short",,https://www.thredup.com/product/women-cotton-trina-turk-pink-mesquite-puff-sleeve-dress/154028092?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/536636687/retina.jpg,thredup_images\cc602682-4499-4cda-8e9d-b6da370104a7.jpg
Casual Dress,"100% polyester, Blue",,https://www.thredup.com/product/women-polyester-shein-blue-casual-dress/153476213?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/534258641/retina.jpg,thredup_images\2ef43f4a-3d5e-421d-8901-5d6bf71b4ece.jpg
Leggings,"92% polyester, 8% spandex, Blue, boho, skinny leg cut, mid rise waist",,https://www.thredup.com/product/women-polyester-lularoe-blue-leggings/153004877?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/532279904/retina.jpg,thredup_images\b1fefa6d-3342-47cd-9d23-9381ff5bc6da.jpg
Leggings,"92% polyester, 8% spandex, Floral print, gray, purple, skinny leg cut, high rise waist",,https://www.thredup.com/product/women-polyester-lularoe-gray-leggings/152475544?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/530238620/retina.jpg,thredup_images\0d4abaf7-b10a-40ac-8e84-48c135606242.jpg
Pullover Sweater,"65% pima cotton, 35% nylon, Long sleeve, v-neck, color blocked detail, solid, color block, black, classic",,https://www.thredup.com/product/women-pima-cotton-tommy-hilfiger-black-pullover-sweater/151969572?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/527665235/retina.jpg,thredup_images\0cef0110-09d6-4fc6-a69d-aca61d70d15e.jpg
Jeans,"99% cotton, 1% elastane, Boyfriend, solid, ripped, distressed, blue, boho, dark wash, distressed detail, boyfriend, low rise waist",,https://www.thredup.com/product/women-cotton-abercrombie-and-fitch-blue-jeans/151595215?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/526317417/retina.jpg,thredup_images\ccb6a6c8-abee-47e6-a9b0-6eb2380a1add.jpg
Fleece,"87% cotton, 13% elastane, Long sleeve, jacket, solid, embroidered detail, zipper detail, metal accents, black, boho",,https://www.thredup.com/product/women-cotton-victorias-secret-pink-black-fleece/151478642?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/526287987/retina.jpg,thredup_images\e9157b02-8c6a-4ce0-8a41-2e45395b9108.jpg
Jeans,"Material unknown, Boyfriend, solid, ripped, distressed, blue, boho, distressed detail, medium wash, boyfriend, low rise waist",,https://www.thredup.com/product/women-zara-blue-jeans/151471213?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/525517039/retina.jpg,thredup_images\e6de2dd4-70d0-4714-8b8a-b63a737f7c7a.jpg
Keller Sheath,"67% polyester, 27% rayon, 6% spandex, Long sleeve, high neck, mini silhouette, solid, black, work, short, Dry clean only",,https://www.thredup.com/product/women-polyester-likely-black-keller-sheath/151361662?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/524989456/retina.jpg,thredup_images\0878cfb8-0af4-4e4d-b899-96d6c5aa6905.jpg
Casual Dress,"100% polyester, Short sleeve, v-neck, mini silhouette, floral print, multi color, purple, wedding, short",,https://www.thredup.com/product/women-polyester-nasty-gal-x-after-party-multi-color-casual-dress/151319034?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/524809169/retina.jpg,thredup_images\c94bd86b-fdb7-416c-835c-f54cb1c22147.jpg
